t,x1,y1,x2,y2
3.6515555556,112.9206534351,469.4513330837,-210.0398175489,190.0905256825
3.6850555556,198.5051782458,437.1552859853,-227.8026434531,162.6388856489
3.7185555556,280.8600983468,388.7112153377,-245.5654693572,138.4168503251
3.7520666667,351.9114019633,325.7339234958,-261.7134929064,110.9652102914
3.7855555556,406.8146820305,253.0678175244,-273.0171093908,78.669163193
3.8190666667,448.7995432585,169.0980950685,-279.4763188105,46.3731160946
3.8525555556,471.4067762273,86.7431749676,-281.0911211654,15.6918713511
3.8860555556,481.0955903569,-5.3005592628,-284.3207258753,-14.9893733923
3.9195555556,473.0215785823,-90.8850840736,-279.4763188105,-45.6706181358
3.9530666667,447.1847409035,-171.6252018196,-273.0171093908,-77.9666652342
3.9865666667,413.2738914502,-250.7505172107,-263.3282952613,-108.6479099777
4.0200666667,369.6742278674,-313.7278090526,-250.4098764219,-136.0995500114
4.0535666667,297.008121896,-379.9347056043,-234.2618528727,-165.1659923999
4.0870666667,227.5716206344,-423.5343691871,-213.2694222588,-189.3880277237
4.1205666667,150.0611075982,-457.4452186405,-190.6621892899,-211.9952606926
4.1540666667,66.0913851424,-481.6672539643,-166.4401539661,-234.6024936615
4.1875666667,-14.6487326036,-488.1264633839,-140.6033162874,-250.7505172107
4.2210666667,-97.0036527045,-481.6672539643,-113.1516762537,-263.66893605
4.2545666667,-174.5141657407,-457.4452186405,-84.0852338652,-274.9725525345
4.2881222222,-243.9506670023,-426.763973897,-55.0187914766,-284.661366664
4.3215777778,-311.7723659089,-379.9347056043,-24.3375467331,-287.8909713738
4.3550666667,-363.774015354,-332.4233765498,10.103251493,-290.5098871931
4.3885777778,-419.9703524344,-266.3192673982,38.0305242203,-288.7644326476
4.4220777778,-455.1487516629,-201.5169530299,69.4487060385,-283.5280690113
4.4555777778,-482.9211721065,-123.7541757878,97.3759787658,-274.800796284
4.4890777778,-492.1786455877,-49.6943879383,127.0487060385,-262.5826144658
4.5225777778,-492.1786455877,31.7713786963,154.9759787658,-245.1280690113
4.5560777778,-481.0696774103,111.3856506346,179.4123424021,-231.1644326476
4.5895777778,-458.8517410554,181.7424490916,203.8487060385,-211.9644326476
4.6230777778,-421.8218471306,253.950742245,221.303251493,-191.0189781022
4.6565777778,-373.6829850284,316.9015619171,238.7577969476,-166.5826144658
4.6900777778,-312.5836600525,374.2978975005,254.4668878567,-142.1462508295
4.7236,-247.7813456841,420.5852649065,268.4305242203,-114.2189781022
4.7570777778,-168.1670737459,455.763664135,277.1577969476,-86.2917053749
4.7905777778,-88.5528018076,476.1301057937,284.1396151294,-58.3644326476
4.8240666667,-5.2355404768,479.8330951861,287.6305242203,-28.6917053749
4.8575888889,76.2302261577,474.2786110974,291.1214333112,0.9810218978
4.8910888889,155.844498096,453.9121694388,287.6305242203,28.9082946251
4.9245777778,229.9042859456,420.5852649065,282.3941605839,58.5810218978
4.9580888889,296.5580950102,376.1493921968,275.4123424021,86.5082946251
4.9915777778,355.8059252898,316.9015619171,264.9396151294,112.6901128069
5.0250888889,407.6477767845,248.3962581562,250.9759787658,138.8719309887
5.0585888889,442.8261760131,176.1879650029,235.2668878567,161.5628400796
5.0920888889,466.8956070642,102.1281771534,217.8123424021,184.2537491705
5.1255888889,478.0045752416,29.919884,198.6123424021,205.199203716
5.1590888889,476.1530805454,-44.1399038495,174.1759787658,224.399203716
5.1925888889,466.8956070642,-110.7937129141,151.4850696749,240.1082946251
5.2260888889,440.9746813168,-186.70499546,125.303251493,254.0719309887
5.2595888889,405.7962820883,-253.3588045246,99.1214333112,264.5446582614
5.2930888889,357.6574199861,-320.0126135892,71.1941605839,273.2719309887
5.3265888889,302.1125790989,-371.8544650839,43.2668878567,278.5082946251
5.3600888889,246.5677382117,-414.4388430974,11.8487060385,281.999203716
5.3935888889,183.6169185396,-447.7657476297,-16.0785666888,280.2537491705
5.4270888889,116.963109475,-469.9836839845,-45.7512939615,275.0173855342
5.4605888889,46.6063110179,-482.9441468582,-73.6785666888,271.5264764433
5.4940888889,-25.6019821354,-486.6471362507,-99.8603848706,262.799203716
5.5275888889,-95.9587805925,-481.092652162,-124.296748507,248.8355673524
5.5611,-162.6125896571,-462.5777051996,-150.4785666888,236.6173855342
5.5946,-229.2663987217,-436.6567794522,-174.9149303252,217.4173855342
5.6281,-286.6627343052,-403.3298749199,-197.6058394161,199.9628400796
5.6616,-342.2075751923,-358.8940022102,-218.5512939615,179.0173855342
5.6951222222,-386.6434479021,-308.9036454117,-236.0058394161,154.5810218978
5.7286111111,-423.6733418269,-253.3588045246,-249.9694757797,130.1446582614
5.7621,-457.0002463592,-190.4079848524,-263.9331121433,105.7082946251
5.7956,-477.3666880178,-125.6056704841,-270.9149303252,76.0355673524
5.8291,-490.3271508915,-57.1003667232,-279.6422030524,46.3628400796
5.8626,-494.0301402839,11.4049370376,-284.8785666888,20.1810218978
